sale_date,daily_revenue
2024-06-05,6
2024-06-06,2
2024-06-07,4
2024-06-08,12
2024-06-09,5
2024-06-10,4
2024-06-11,10
2024-06-12,7
2024-06-13,10
2024-06-14,15
2024-06-15,13
2024-06-16,13
2024-06-17,14
2024-06-18,23
2024-06-19,21
2024-06-20,19
2024-06-21,13
2024-06-22,18
2024-06-23,41
2024-06-24,40
2024-06-25,25
2024-06-26,35
2024-06-27,31
2024-06-28,41
2024-06-29,50
2024-06-30,39
2024-07-01,41
2024-07-02,40
2024-07-03,41
2024-07-04,37
2024-07-05,56
2024-07-06,43
2024-07-07,51
2024-07-08,42
2024-07-09,41
2024-07-10,40
2024-07-11,53
2024-07-12,54
2024-07-13,40
2024-07-14,48
2024-07-15,58
2024-07-16,64
2024-07-17,57
2024-07-18,40
2024-07-19,76
2024-07-20,47
2024-07-21,51
2024-07-22,81
2024-07-23,58
2024-07-24,55
2024-07-25,60
2024-07-26,60
2024-07-27,56
2024-07-28,91
2024-07-29,58
2024-07-30,64
2024-07-31,77
2024-08-01,65
2024-08-02,74
2024-08-03,79
2024-08-04,61
2024-08-05,78
2024-08-06,87
2024-08-07,70
2024-08-08,113
2024-08-09,77
2024-08-10,87
2024-08-11,71
2024-08-12,68
2024-08-13,108
2024-08-14,89
2024-08-15,100
2024-08-16,97
2024-08-17,105
2024-08-18,118
2024-08-19,97
2024-08-20,114
2024-08-21,137
2024-08-22,71
2024-08-23,124
2024-08-24,109
2024-08-25,139
2024-08-26,126
2024-08-27,125
2024-08-28,109
2024-08-29,138
2024-08-30,121
2024-08-31,116
2024-09-01,163
2024-09-02,105
2024-09-03,131
2024-09-04,140
2024-09-05,136
2024-09-06,117
2024-09-07,132
2024-09-08,135
2024-09-09,115
2024-09-10,154
2024-09-11,163
2024-09-12,108
2024-09-13,151
2024-09-14,125
2024-09-15,168
2024-09-16,148
2024-09-17,115
2024-09-18,143
2024-09-19,150
2024-09-20,138
2024-09-21,156
2024-09-22,147
2024-09-23,123
2024-09-24,145
2024-09-25,160
2024-09-26,161
2024-09-27,135
2024-09-28,159
2024-09-29,169
2024-09-30,137
2024-10-01,146
2024-10-02,163
2024-10-03,151
2024-10-04,155
2024-10-05,145
2024-10-06,159
2024-10-07,153
2024-10-08,163
2024-10-09,128
2024-10-10,137
2024-10-11,155
2024-10-12,142
2024-10-13,140
2024-10-14,128
2024-10-15,123
2024-10-16,157
2024-10-17,120
2024-10-18,159
2024-10-19,138
2024-10-20,124
2024-10-21,149
2024-10-22,127
2024-10-23,165
2024-10-24,154
2024-10-25,128
2024-10-26,118
2024-10-27,140
2024-10-28,148
2024-10-29,153
2024-10-30,126
2024-10-31,137
2024-11-01,142
2024-11-02,129
2024-11-03,126
2024-11-04,129
2024-11-05,132
2024-11-06,126
2024-11-07,139
2024-11-08,133
2024-11-09,118
2024-11-10,133
2024-11-11,127
2024-11-12,105
2024-11-13,117
2024-11-14,140
2024-11-15,121
2024-11-16,131
2024-11-17,145
2024-11-18,107
2024-11-19,104
2024-11-20,107
2024-11-21,109
2024-11-22,120
2024-11-23,94
2024-11-24,109
2024-11-25,124
2024-11-26,80
2024-11-27,99
2024-11-28,86
2024-11-29,88
2024-11-30,118
2024-12-01,65
