sku_id,product_name,category,color,size,cost_price,mrp,units_purchased,sell_through_rate,status,bleed_score,predicted_units_next_season,units_min,units_max,vs_last_season,buying_signal,estimated_capital_needed
SKU-0049,Dabu print Kurta (Georgette),Kurta,Terracotta,XL,469,1780,146,0.027,Warning,23.35,28,24,32,-118,Buy much less,13132
SKU-0233,Block print Coord Set (Cotton),Coord Set,Charcoal,XL,691,1974,146,0.048,Critical,43.79,29,25,33,-117,Buy much less,20039
SKU-0059,Dabu print Kurta (Chanderi),Kurta,Terracotta,XXL,439,1725,144,0.042,Critical,51.73,29,25,33,-115,Buy much less,12731
SKU-0349,Chikankari Dupatta (Cotton),Dupatta,Rust,L,261,833,144,0.056,Critical,54.75,29,25,33,-115,Buy much less,7569
SKU-0232,Kalamkari Coord Set (Cotton),Coord Set,Terracotta,XXL,786,2476,143,0.091,Healthy,12.73,30,26,34,-113,Buy much less,23580
SKU-0498,Mirror work Palazzo (Mul mul),Palazzo,Ivory,M,203,763,143,0.091,Critical,59.99,31,26,36,-112,Buy much less,6293
SKU-0079,Mirror work Kurta (Georgette),Kurta,Ivory,XS,569,990,146,0.11,Critical,82.77,35,30,40,-111,Buy much less,19915
SKU-0067,Kalamkari Kurta (Silk blend),Kurta,Teal,XL,535,1347,140,0.171,Critical,46.42,30,26,34,-110,Buy much less,16050
SKU-0038,Block print Kurta (Linen),Kurta,Mauve,M,386,1229,145,0.172,Critical,43.06,35,30,40,-110,Buy much less,13510
SKU-0331,Chikankari Dupatta (Rayon),Dupatta,Sage green,S,182,398,139,0.043,Warning,20.1,29,25,33,-110,Buy much less,5278
SKU-0215,Ikat Coord Set (Linen),Coord Set,Teal,S,565,1734,144,0.111,Critical,91.57,35,30,40,-109,Buy much less,19775
SKU-0063,Shibori Kurta (Linen),Kurta,Ivory,XS,362,1228,141,0.0,Critical,112.0,34,29,39,-107,Buy much less,12308
SKU-0352,Mirror work Dupatta (Georgette),Dupatta,Ochre,XS,207,619,139,0.101,Critical,75.52,34,29,39,-105,Buy much less,7038
SKU-0186,Chikankari Saree (Chanderi),Saree,Ivory,XS,1388,4212,133,0.038,Healthy,2.89,29,25,33,-104,Buy much less,40252
SKU-0317,Kalamkari Dupatta (Mul mul),Dupatta,Ochre,S,168,754,132,0.098,Warning,27.96,29,25,33,-103,Buy much less,4872
SKU-0234,Ajrakh Coord Set (Rayon),Coord Set,Ochre,XXL,576,2582,131,0.038,Critical,45.21,29,25,33,-102,Buy much less,16704
SKU-0306,Dabu print Dupatta (Linen),Dupatta,Rust,S,244,481,131,0.038,Healthy,7.7,29,25,33,-102,Buy much less,7076
SKU-0367,Kalamkari Dupatta (Cotton),Dupatta,Terracotta,M,209,644,134,0.172,Warning,22.36,32,27,37,-102,Buy much less,6688
SKU-0339,Shibori Dupatta (Mul mul),Dupatta,Teal,XS,229,595,146,0.075,Healthy,7.4,45,38,52,-101,Buy much less,10305
SKU-0050,Kalamkari Kurta (Cotton),Kurta,Terracotta,S,628,1076,140,0.221,Critical,63.88,40,34,46,-100,Buy much less,25120
SKU-0097,Shibori Kurta (Chanderi),Kurta,Charcoal,XS,383,1027,140,0.121,Healthy,2.64,40,34,46,-100,Buy much less,15320
SKU-0418,Bandhani Dress (Silk blend),Dress,Mauve,S,620,1632,130,0.154,Healthy,16.92,30,26,34,-100,Buy much less,18600
SKU-0390,Ajrakh Dress (Silk blend),Dress,Sage green,M,511,1582,128,0.133,Warning,27.74,28,24,32,-100,Buy much less,14308
SKU-0204,Dabu print Coord Set (Linen),Coord Set,Teal,S,732,1988,132,0.068,Critical,65.24,33,28,38,-99,Buy much less,24156
SKU-0018,Ikat Kurta (Linen),Kurta,Terracotta,L,377,1569,132,0.098,Healthy,0.9,33,28,38,-99,Buy much less,12441
SKU-0392,Ikat Dress (Linen),Dress,Rust,M,424,1756,127,0.11,Critical,54.29,29,25,33,-98,Buy much less,12296
SKU-0089,Mirror work Kurta (Mul mul),Kurta,Indigo,XXL,415,1024,127,0.142,Critical,44.62,30,26,34,-97,Buy much less,12450
SKU-0350,Ajrakh Dupatta (Linen),Dupatta,Ochre,XXL,253,600,146,0.445,Healthy,12.76,49,42,56,-97,Buy much less,12397
SKU-0141,Bandhani Saree (Cotton),Saree,Blush pink,S,1560,5510,125,0.072,Critical,49.18,29,25,33,-96,Buy much less,45240
SKU-0159,Block print Saree (Georgette),Saree,Blush pink,M,1840,5840,124,0.089,Warning,30.97,29,25,33,-95,Buy much less,53360
SKU-0187,Bandhani Saree (Linen),Saree,Teal,S,2046,3207,125,0.024,Critical,53.68,30,26,34,-95,Buy much less,61380
SKU-0472,Bandhani Palazzo (Silk blend),Palazzo,Terracotta,XS,212,789,124,0.065,Critical,53.3,29,25,33,-95,Buy much less,6148
SKU-0121,Ikat Saree (Rayon),Saree,Ochre,XS,1353,4235,130,0.038,Critical,96.2,35,30,40,-95,Buy much less,47355
SKU-0216,Bandhani Coord Set (Rayon),Coord Set,Indigo,XL,685,2669,128,0.141,Critical,68.72,34,29,39,-94,Buy much less,23290
SKU-0438,Dabu print Dress (Linen),Dress,Rust,XXL,505,1545,122,0.115,Warning,37.17,28,24,32,-94,Buy much less,14140
SKU-0212,Mirror work Coord Set (Georgette),Coord Set,Ivory,L,534,1844,123,0.057,Critical,56.58,30,26,34,-93,Buy much less,16020
SKU-0311,Mirror work Dupatta (Rayon),Dupatta,Sage green,M,195,379,123,0.041,Critical,53.7,31,26,36,-92,Buy much less,6045
SKU-0223,Block print Coord Set (Mul mul),Coord Set,Blush pink,L,703,1564,137,0.153,Healthy,14.4,45,38,52,-92,Buy much less,31635
SKU-0218,Bagru print Coord Set (Georgette),Coord Set,Charcoal,L,540,1717,132,0.174,Warning,26.43,40,34,46,-92,Buy much less,21600
SKU-0247,Chikankari Coord Set (Linen),Coord Set,Ochre,XL,861,1958,121,0.041,Critical,48.91,29,25,33,-92,Buy much less,24969
SKU-0280,Kalamkari Coord Set (Rayon),Coord Set,Sage green,XS,741,1892,142,0.246,Warning,27.9,51,43,59,-91,Buy much less,37791
SKU-0358,Ajrakh Dupatta (Rayon),Dupatta,Mauve,XL,277,617,130,0.1,Healthy,5.4,39,33,45,-91,Buy much less,10803
SKU-0137,Bandhani Saree (Georgette),Saree,Indigo,S,817,2968,121,0.157,Warning,23.6,30,26,34,-91,Buy much less,24510
SKU-0109,Mirror work Kurta (Linen),Kurta,Ivory,XXL,569,1024,131,0.038,Healthy,1.92,40,34,46,-91,Buy much less,22760
SKU-0087,Ajrakh Kurta (Mul mul),Kurta,Ivory,XXL,467,1720,123,0.073,Critical,67.67,33,28,38,-90,Buy much less,15411
SKU-0145,Ikat Saree (Rayon),Saree,Mauve,XXL,1506,5390,127,0.268,Critical,40.26,37,31,43,-90,Buy much less,55722
