sku_id,product_name,category,color,size,supplier_id,launch_date,cost_price,mrp,margin_per_unit,units_purchased,units_sold_total,units_on_hand,stock_remaining_pct,sell_through_rate,last_sale_date,days_since_last_sale,days_on_shelf,units_sold_last_4w,velocity_overall,weeks_of_stock,bleed_score,margin_at_risk,status,top_channel
SKU-0489,Ikat Palazzo (Silk blend),Palazzo,Mauve,XS,SUP-004,2024-06-08,226,603,377,122,2,120,0.984,0.016,2024-06-08,176,176,0.0,0.08,999.0,173.18,45240,Critical,Store - Koramangala
SKU-0416,Block print Dress (Mul mul),Dress,Charcoal,S,SUP-007,2024-06-14,605,1570,965,114,2,112,0.982,0.018,2024-06-14,170,170,0.0,0.08,999.0,166.94,108080,Critical,Online - Instagram
SKU-0426,Ikat Dress (Chanderi),Dress,Terracotta,XXL,SUP-001,2024-06-18,443,1640,1197,113,2,111,0.982,0.018,2024-06-18,166,166,0.0,0.08,999.0,163.01,132867,Critical,Online - Nykaa
SKU-0373,Bandhani Dress (Georgette),Dress,Charcoal,S,SUP-009,2024-07-19,532,1431,899,103,1,102,0.99,0.01,2024-07-19,135,135,0.0,0.05,999.0,133.65,91698,Critical,Online - Website
SKU-0321,Shibori Dupatta (Rayon),Dupatta,Ochre,L,SUP-009,2024-08-04,199,749,550,74,0,74,1.0,0.0,2024-08-04,119,119,0.0,0.0,999.0,119.0,40700,Critical,
SKU-0119,Block print Kurta (Cotton),Kurta,Ivory,XS,SUP-007,2024-06-28,372,1524,1152,95,5,90,0.947,0.053,2024-07-30,124,156,0.0,0.22,999.0,117.43,103680,Critical,Store - MG Road
SKU-0290,Shibori Coord Set (Chanderi),Coord Set,Indigo,M,SUP-001,2024-06-18,635,1759,1124,65,4,61,0.938,0.062,2024-07-30,124,166,0.0,0.17,999.0,116.31,68564,Critical,Online - Nykaa
SKU-0230,Ajrakh Coord Set (Chanderi),Coord Set,Ivory,S,SUP-008,2024-06-13,618,2641,2023,76,8,68,0.895,0.105,2024-07-26,128,171,0.0,0.33,999.0,114.56,137564,Critical,Online - Website
SKU-0363,Block print Dupatta (Georgette),Dupatta,Ochre,XXL,SUP-006,2024-08-05,210,788,578,54,2,52,0.963,0.037,2024-08-05,118,118,0.0,0.12,999.0,113.63,30056,Critical,Store - Koramangala
SKU-0063,Shibori Kurta (Linen),Kurta,Ivory,XS,SUP-004,2024-08-11,362,1228,866,141,0,141,1.0,0.0,2024-08-11,112,112,0.0,0.0,999.0,112.0,122106,Critical,
