sku_id,snapshot_date,units_purchased,units_sold_total,units_on_hand,last_sale_date
SKU-0001,2024-12-01,116,89,27,2024-11-05
SKU-0002,2024-12-01,117,77,40,2024-10-25
SKU-0003,2024-12-01,78,45,33,2024-11-30
SKU-0004,2024-12-01,32,13,19,2024-11-22
SKU-0005,2024-12-01,38,15,23,2024-10-07
SKU-0006,2024-12-01,65,52,13,2024-10-13
SKU-0007,2024-12-01,122,10,112,2024-11-30
SKU-0008,2024-12-01,107,22,85,2024-11-29
SKU-0009,2024-12-01,55,38,17,2024-11-13
SKU-0010,2024-12-01,38,27,11,2024-09-21
SKU-0011,2024-12-01,62,48,14,2024-11-09
SKU-0012,2024-12-01,62,48,14,2024-11-28
SKU-0013,2024-12-01,115,65,50,2024-10-07
SKU-0014,2024-12-01,43,34,9,2024-10-16
SKU-0015,2024-12-01,125,14,111,2024-11-28
SKU-0016,2024-12-01,88,62,26,2024-09-15
SKU-0017,2024-12-01,57,26,31,2024-12-01
SKU-0018,2024-12-01,132,13,119,2024-11-30
SKU-0019,2024-12-01,32,27,5,2024-10-10
SKU-0020,2024-12-01,135,99,36,2024-09-29
SKU-0021,2024-12-01,87,69,18,2024-11-13
SKU-0022,2024-12-01,85,53,32,2024-11-29
SKU-0023,2024-12-01,30,4,26,2024-08-30
SKU-0024,2024-12-01,104,32,72,2024-11-29
SKU-0025,2024-12-01,115,64,51,2024-09-29
SKU-0026,2024-12-01,49,33,16,2024-10-16
SKU-0027,2024-12-01,81,31,50,2024-10-31
SKU-0028,2024-12-01,52,42,10,2024-11-01
SKU-0029,2024-12-01,31,2,29,2024-11-11
SKU-0030,2024-12-01,77,44,33,2024-11-15
SKU-0031,2024-12-01,145,124,21,2024-10-08
SKU-0032,2024-12-01,128,105,23,2024-09-02
SKU-0033,2024-12-01,97,64,33,2024-11-23
SKU-0034,2024-12-01,77,36,41,2024-11-29
SKU-0035,2024-12-01,56,26,30,2024-08-31
SKU-0036,2024-12-01,33,13,20,2024-11-14
SKU-0037,2024-12-01,134,61,73,2024-11-30
SKU-0038,2024-12-01,145,25,120,2024-10-10
SKU-0039,2024-12-01,135,85,50,2024-10-05
SKU-0040,2024-12-01,52,43,9,2024-10-31
SKU-0041,2024-12-01,72,48,24,2024-09-11
SKU-0042,2024-12-01,54,46,8,2024-11-25
SKU-0043,2024-12-01,139,95,44,2024-10-13
SKU-0044,2024-12-01,54,35,19,2024-09-08
SKU-0045,2024-12-01,81,66,15,2024-11-08
SKU-0046,2024-12-01,82,29,53,2024-11-30
SKU-0047,2024-12-01,123,8,115,2024-11-29
SKU-0048,2024-12-01,46,14,32,2024-10-23
SKU-0049,2024-12-01,146,4,142,2024-11-07
SKU-0050,2024-12-01,140,31,109,2024-09-10
SKU-0051,2024-12-01,30,6,24,2024-08-30
SKU-0052,2024-12-01,45,30,15,2024-10-20
SKU-0053,2024-12-01,98,21,77,2024-11-29
SKU-0054,2024-12-01,52,36,16,2024-10-13
SKU-0055,2024-12-01,48,35,13,2024-10-25
SKU-0056,2024-12-01,53,30,23,2024-10-21
SKU-0057,2024-12-01,41,23,18,2024-09-27
SKU-0058,2024-12-01,116,26,90,2024-10-24
SKU-0059,2024-12-01,144,6,138,2024-10-08
SKU-0060,2024-12-01,50,35,15,2024-10-25
SKU-0061,2024-12-01,128,57,71,2024-10-15
SKU-0062,2024-12-01,84,47,37,2024-09-27
SKU-0063,2024-12-01,141,0,141,2024-08-11
SKU-0064,2024-12-01,48,35,13,2024-09-06
SKU-0065,2024-12-01,128,28,100,2024-11-30
SKU-0066,2024-12-01,71,42,29,2024-11-10
SKU-0067,2024-12-01,140,24,116,2024-10-06
SKU-0068,2024-12-01,36,13,23,2024-10-30
SKU-0069,2024-12-01,58,46,12,2024-10-03
SKU-0070,2024-12-01,46,6,40,2024-09-29
SKU-0071,2024-12-01,68,47,21,2024-11-08
SKU-0072,2024-12-01,121,4,117,2024-09-14
SKU-0073,2024-12-01,106,64,42,2024-09-25
SKU-0074,2024-12-01,87,71,16,2024-09-30
SKU-0075,2024-12-01,65,50,15,2024-10-01
SKU-0076,2024-12-01,146,26,120,2024-12-01
SKU-0077,2024-12-01,57,39,18,2024-09-11
SKU-0078,2024-12-01,57,45,12,2024-10-23
SKU-0079,2024-12-01,146,16,130,2024-08-30
SKU-0080,2024-12-01,98,82,16,2024-10-03
SKU-0081,2024-12-01,94,47,47,2024-12-01
SKU-0082,2024-12-01,106,21,85,2024-11-29
SKU-0083,2024-12-01,98,78,20,2024-11-03
SKU-0084,2024-12-01,112,38,74,2024-12-01
SKU-0085,2024-12-01,91,19,72,2024-10-08
SKU-0086,2024-12-01,83,55,28,2024-10-26
SKU-0087,2024-12-01,123,9,114,2024-09-19
SKU-0088,2024-12-01,43,37,6,2024-10-24
SKU-0089,2024-12-01,127,18,109,2024-10-10
SKU-0090,2024-12-01,67,59,8,2024-10-24
SKU-0091,2024-12-01,39,23,16,2024-09-18
SKU-0092,2024-12-01,35,28,7,2024-10-23
SKU-0093,2024-12-01,45,13,32,2024-10-10
SKU-0094,2024-12-01,90,26,64,2024-09-25
SKU-0095,2024-12-01,90,39,51,2024-10-02
SKU-0096,2024-12-01,75,33,42,2024-11-14
SKU-0097,2024-12-01,140,17,123,2024-11-28
