txn_id,sku_id,sale_date,units_sold,selling_price,discount_pct,channel
TXN-000001,SKU-0001,2024-08-17,2,1385,0,Online - Nykaa
TXN-000002,SKU-0001,2024-08-18,3,1385,0,Store - MG Road
TXN-000003,SKU-0001,2024-08-19,3,1385,0,Online - Nykaa
TXN-000004,SKU-0001,2024-08-21,2,1385,0,Store - Indiranagar
TXN-000005,SKU-0001,2024-08-24,1,1385,0,Online - Nykaa
TXN-000006,SKU-0001,2024-08-25,2,1385,0,Store - Koramangala
TXN-000007,SKU-0001,2024-08-28,2,1385,0,Online - Nykaa
TXN-000008,SKU-0001,2024-08-30,3,1246,10,Store - Koramangala
TXN-000009,SKU-0001,2024-09-01,1,1385,0,Store - MG Road
TXN-000010,SKU-0001,2024-09-02,3,1385,0,Online - Nykaa
TXN-000011,SKU-0001,2024-09-04,3,1385,0,Online - Nykaa
TXN-000012,SKU-0001,2024-09-05,3,1385,0,Store - Indiranagar
TXN-000013,SKU-0001,2024-09-06,2,1246,10,Online - Instagram
TXN-000014,SKU-0001,2024-09-08,2,1385,0,Store - MG Road
TXN-000015,SKU-0001,2024-09-10,3,1385,0,Store - Koramangala
TXN-000016,SKU-0001,2024-09-12,2,1385,0,Online - Website
TXN-000017,SKU-0001,2024-09-15,2,1385,0,Online - Website
TXN-000018,SKU-0001,2024-09-18,2,1385,0,Online - Instagram
TXN-000019,SKU-0001,2024-09-21,3,1385,0,Online - Instagram
TXN-000020,SKU-0001,2024-09-24,1,1385,0,Store - MG Road
TXN-000021,SKU-0001,2024-09-26,1,1385,0,Store - Indiranagar
TXN-000022,SKU-0001,2024-09-29,2,1385,0,Store - Indiranagar
TXN-000023,SKU-0001,2024-10-01,3,1385,0,Store - MG Road
TXN-000024,SKU-0001,2024-10-03,1,1385,0,Online - Nykaa
TXN-000025,SKU-0001,2024-10-04,1,1385,0,Online - Nykaa
TXN-000026,SKU-0001,2024-10-07,2,1385,0,Online - Nykaa
TXN-000027,SKU-0001,2024-10-08,2,1177,15,Store - Indiranagar
TXN-000028,SKU-0001,2024-10-09,3,1385,0,Store - MG Road
TXN-000029,SKU-0001,2024-10-11,1,1177,15,Store - Koramangala
TXN-000030,SKU-0001,2024-10-12,3,1385,0,Online - Nykaa
TXN-000031,SKU-0001,2024-10-15,2,1385,0,Store - MG Road
TXN-000032,SKU-0001,2024-10-17,1,1385,0,Store - MG Road
TXN-000033,SKU-0001,2024-10-18,1,1177,15,Store - MG Road
TXN-000034,SKU-0001,2024-10-21,3,1385,0,Online - Instagram
TXN-000035,SKU-0001,2024-10-22,3,1246,10,Store - MG Road
TXN-000036,SKU-0001,2024-10-23,3,1385,0,Online - Nykaa
TXN-000037,SKU-0001,2024-10-25,2,1385,0,Store - Indiranagar
TXN-000038,SKU-0001,2024-10-28,2,1385,0,Online - Instagram
TXN-000039,SKU-0001,2024-10-30,3,1385,0,Online - Website
TXN-000040,SKU-0001,2024-11-02,1,1039,25,Store - Indiranagar
TXN-000041,SKU-0001,2024-11-04,1,1246,10,Online - Website
TXN-000042,SKU-0001,2024-11-05,3,1385,0,Store - Koramangala
TXN-000043,SKU-0002,2024-08-10,3,1322,0,Online - Website
TXN-000044,SKU-0002,2024-08-13,3,1322,0,Store - Koramangala
TXN-000045,SKU-0002,2024-08-16,2,1322,0,Online - Instagram
TXN-000046,SKU-0002,2024-08-17,1,1322,0,Online - Website
TXN-000047,SKU-0002,2024-08-19,1,1322,0,Store - MG Road
TXN-000048,SKU-0002,2024-08-20,2,1322,0,Online - Nykaa
TXN-000049,SKU-0002,2024-08-22,3,1322,0,Online - Website
TXN-000050,SKU-0002,2024-08-23,3,1322,0,Online - Website
TXN-000051,SKU-0002,2024-08-24,3,1322,0,Store - MG Road
TXN-000052,SKU-0002,2024-08-27,2,1322,0,Store - MG Road
TXN-000053,SKU-0002,2024-08-30,3,1322,0,Store - Indiranagar
TXN-000054,SKU-0002,2024-09-01,1,1322,0,Online - Instagram
TXN-000055,SKU-0002,2024-09-03,2,1322,0,Store - Koramangala
TXN-000056,SKU-0002,2024-09-05,3,1322,0,Online - Nykaa
TXN-000057,SKU-0002,2024-09-08,2,1322,0,Online - Website
TXN-000058,SKU-0002,2024-09-10,3,1322,0,Store - MG Road
TXN-000059,SKU-0002,2024-09-12,2,1322,0,Store - Koramangala
TXN-000060,SKU-0002,2024-09-14,3,1322,0,Store - MG Road
TXN-000061,SKU-0002,2024-09-16,2,1322,0,Store - Koramangala
TXN-000062,SKU-0002,2024-09-18,3,1322,0,Store - MG Road
TXN-000063,SKU-0002,2024-09-20,1,1190,10,Online - Nykaa
TXN-000064,SKU-0002,2024-09-22,2,1322,0,Online - Website
TXN-000065,SKU-0002,2024-09-25,2,1322,0,Online - Nykaa
TXN-000066,SKU-0002,2024-09-28,3,1190,10,Online - Instagram
TXN-000067,SKU-0002,2024-09-30,1,1322,0,Store - MG Road
TXN-000068,SKU-0002,2024-10-01,1,1322,0,Online - Instagram
TXN-000069,SKU-0002,2024-10-02,1,1124,15,Online - Nykaa
TXN-000070,SKU-0002,2024-10-04,2,1190,10,Store - MG Road
TXN-000071,SKU-0002,2024-10-06,3,1322,0,Online - Nykaa
TXN-000072,SKU-0002,2024-10-09,1,1190,10,Store - Indiranagar
TXN-000073,SKU-0002,2024-10-12,1,1322,0,Online - Instagram
TXN-000074,SKU-0002,2024-10-15,3,1058,20,Store - Koramangala
TXN-000075,SKU-0002,2024-10-16,2,1322,0,Store - Koramangala
TXN-000076,SKU-0002,2024-10-19,3,1322,0,Online - Nykaa
TXN-000077,SKU-0002,2024-10-20,1,1058,20,Store - Koramangala
TXN-000078,SKU-0002,2024-10-23,1,1190,10,Store - Koramangala
TXN-000079,SKU-0002,2024-10-25,2,1322,0,Online - Nykaa
TXN-000080,SKU-0003,2024-10-28,2,1335,0,Online - Website
TXN-000081,SKU-0003,2024-10-31,3,1335,0,Store - Indiranagar
TXN-000082,SKU-0003,2024-11-03,3,1335,0,Online - Nykaa
TXN-000083,SKU-0003,2024-11-04,2,1335,0,Online - Website
TXN-000084,SKU-0003,2024-11-05,1,1202,10,Store - Koramangala
TXN-000085,SKU-0003,2024-11-07,2,1335,0,Store - MG Road
TXN-000086,SKU-0003,2024-11-10,3,1068,20,Online - Instagram
TXN-000087,SKU-0003,2024-11-12,3,1335,0,Store - Koramangala
TXN-000088,SKU-0003,2024-11-13,3,1335,0,Store - Indiranagar
TXN-000089,SKU-0003,2024-11-15,1,1335,0,Online - Instagram
TXN-000090,SKU-0003,2024-11-16,2,1335,0,Store - Koramangala
TXN-000091,SKU-0003,2024-11-17,2,1335,0,Online - Instagram
TXN-000092,SKU-0003,2024-11-19,3,1068,20,Online - Website
TXN-000093,SKU-0003,2024-11-20,3,1335,0,Store - MG Road
TXN-000094,SKU-0003,2024-11-21,2,1335,0,Store - Koramangala
TXN-000095,SKU-0003,2024-11-22,3,1335,0,Online - Website
TXN-000096,SKU-0003,2024-11-24,2,1335,0,Store - MG Road
TXN-000097,SKU-0003,2024-11-25,2,1335,0,Online - Website
TXN-000098,SKU-0003,2024-11-27,1,1335,0,Store - Koramangala
TXN-000099,SKU-0003,2024-11-30,2,1335,0,Online - Instagram
TXN-000100,SKU-0004,2024-11-03,1,1460,0,Online - Nykaa
TXN-000101,SKU-0004,2024-11-06,2,1460,0,Online - Instagram
TXN-000102,SKU-0004,2024-11-10,3,1460,0,Store - Koramangala
TXN-000103,SKU-0004,2024-11-14,1,1460,0,Online - Instagram
TXN-000104,SKU-0004,2024-11-17,3,1241,15,Online - Instagram
TXN-000105,SKU-0004,2024-11-22,3,1460,0,Store - Koramangala
TXN-000106,SKU-0005,2024-09-06,3,970,0,Store - MG Road
TXN-000107,SKU-0005,2024-09-13,3,970,0,Store - Indiranagar
TXN-000108,SKU-0005,2024-09-18,3,970,0,Store - MG Road
