sku_id,product_name,category,color,size,cost_price,mrp,supplier_id,launch_date,units_purchased
SKU-0001,Bagru print Kurta (Rayon),Kurta,Mauve,S,452,1385,SUP-003,2024-08-17,116
SKU-0002,Bagru print Kurta (Silk blend),Kurta,Ochre,XL,437,1322,SUP-002,2024-08-10,117
SKU-0003,Block print Kurta (Mul mul),Kurta,Terracotta,XXL,643,1335,SUP-009,2024-10-28,78
SKU-0004,Bandhani Kurta (Mul mul),Kurta,Teal,L,408,1460,SUP-009,2024-11-03,32
SKU-0005,Chikankari Kurta (Chanderi),Kurta,Sage green,XS,484,970,SUP-002,2024-09-06,38
SKU-0006,Chikankari Kurta (Mul mul),Kurta,Blush pink,M,402,1289,SUP-001,2024-08-18,65
SKU-0007,Mirror work Kurta (Linen),Kurta,Terracotta,L,399,1337,SUP-006,2024-11-16,122
SKU-0008,Ajrakh Kurta (Chanderi),Kurta,Sage green,XXL,540,1351,SUP-008,2024-10-05,107
SKU-0009,Kalamkari Kurta (Rayon),Kurta,Indigo,XL,564,1201,SUP-008,2024-10-09,55
SKU-0010,Shibori Kurta (Rayon),Kurta,Ivory,XS,566,1713,SUP-007,2024-07-17,38
SKU-0011,Bandhani Kurta (Cotton),Kurta,Blush pink,M,478,1597,SUP-003,2024-09-16,62
SKU-0012,Chikankari Kurta (Cotton),Kurta,Blush pink,L,610,1439,SUP-002,2024-10-08,62
SKU-0013,Bagru print Kurta (Rayon),Kurta,Rust,L,397,1452,SUP-008,2024-06-20,115
SKU-0014,Bandhani Kurta (Cotton),Kurta,Mauve,S,384,1688,SUP-007,2024-08-09,43
SKU-0015,Dabu print Kurta (Chanderi),Kurta,Rust,XS,632,1342,SUP-004,2024-11-03,125
SKU-0016,Chikankari Kurta (Rayon),Kurta,Sage green,XL,571,1434,SUP-007,2024-06-20,88
SKU-0017,Ajrakh Kurta (Chanderi),Kurta,Charcoal,XL,592,1035,SUP-006,2024-10-21,57
SKU-0018,Ikat Kurta (Linen),Kurta,Terracotta,L,377,1569,SUP-009,2024-10-05,132
SKU-0019,Shibori Kurta (Silk blend),Kurta,Charcoal,L,539,1174,SUP-009,2024-07-12,32
SKU-0020,Shibori Kurta (Linen),Kurta,Mauve,XS,547,1405,SUP-003,2024-06-16,135
SKU-0021,Mirror work Kurta (Cotton),Kurta,Sage green,XS,521,1613,SUP-001,2024-09-20,87
SKU-0022,Ajrakh Kurta (Silk blend),Kurta,Ivory,XL,401,1217,SUP-001,2024-10-10,85
SKU-0023,Ajrakh Kurta (Chanderi),Kurta,Ochre,XL,430,1648,SUP-001,2024-07-28,30
SKU-0024,Dabu print Kurta (Linen),Kurta,Teal,L,475,1079,SUP-007,2024-09-26,104
SKU-0025,Mirror work Kurta (Rayon),Kurta,Sage green,S,533,1072,SUP-006,2024-06-26,115
SKU-0026,Shibori Kurta (Mul mul),Kurta,Ochre,XL,589,1093,SUP-003,2024-08-13,49
SKU-0027,Bandhani Kurta (Georgette),Kurta,Rust,L,601,1352,SUP-007,2024-08-20,81
SKU-0028,Bagru print Kurta (Cotton),Kurta,Charcoal,XS,477,1500,SUP-002,2024-08-28,52
SKU-0029,Dabu print Kurta (Cotton),Kurta,Sage green,L,647,1560,SUP-001,2024-11-11,31
SKU-0030,Chikankari Kurta (Cotton),Kurta,Charcoal,M,603,1601,SUP-003,2024-10-12,77
SKU-0031,Bagru print Kurta (Linen),Kurta,Blush pink,XS,557,1080,SUP-008,2024-06-23,145
SKU-0032,Mirror work Kurta (Mul mul),Kurta,Rust,XXL,424,1574,SUP-009,2024-06-07,128
SKU-0033,Bandhani Kurta (Rayon),Kurta,Charcoal,L,502,1287,SUP-001,2024-09-25,97
SKU-0034,Ikat Kurta (Georgette),Kurta,Rust,XS,638,1347,SUP-001,2024-10-28,77
SKU-0035,Mirror work Kurta (Linen),Kurta,Rust,XXL,371,1699,SUP-008,2024-06-13,56
SKU-0036,Block print Kurta (Mul mul),Kurta,Ivory,XL,376,1175,SUP-003,2024-10-28,33
SKU-0037,Block print Kurta (Mul mul),Kurta,Mauve,XXL,384,1141,SUP-003,2024-09-30,134
SKU-0038,Block print Kurta (Linen),Kurta,Mauve,M,386,1229,SUP-001,2024-08-17,145
SKU-0039,Chikankari Kurta (Cotton),Kurta,Rust,S,540,1202,SUP-009,2024-06-11,135
SKU-0040,Bandhani Kurta (Linen),Kurta,Blush pink,S,572,1515,SUP-006,2024-09-21,52
SKU-0041,Dabu print Kurta (Cotton),Kurta,Blush pink,XS,476,1104,SUP-009,2024-07-11,72
SKU-0042,Dabu print Kurta (Georgette),Kurta,Terracotta,M,595,1125,SUP-002,2024-10-10,54
SKU-0043,Shibori Kurta (Mul mul),Kurta,Sage green,XS,362,1777,SUP-008,2024-07-06,139
SKU-0044,Ajrakh Kurta (Chanderi),Kurta,Teal,XXL,491,1420,SUP-003,2024-06-28,54
SKU-0045,Mirror work Kurta (Chanderi),Kurta,Terracotta,XXL,535,1524,SUP-001,2024-07-16,81
SKU-0046,Mirror work Kurta (Silk blend),Kurta,Mauve,XS,519,1787,SUP-008,2024-11-03,82
SKU-0047,Chikankari Kurta (Mul mul),Kurta,Ochre,XL,409,1569,SUP-004,2024-11-13,123
SKU-0048,Ajrakh Kurta (Mul mul),Kurta,Terracotta,XXL,396,1772,SUP-003,2024-09-27,46
SKU-0049,Dabu print Kurta (Georgette),Kurta,Terracotta,XL,469,1780,SUP-010,2024-10-30,146
SKU-0050,Kalamkari Kurta (Cotton),Kurta,Terracotta,S,628,1076,SUP-001,2024-07-04,140
SKU-0051,Mirror work Kurta (Cotton),Kurta,Blush pink,XL,639,1045,SUP-005,2024-07-15,30
SKU-0052,Mirror work Kurta (Rayon),Kurta,Teal,M,621,1138,SUP-010,2024-09-10,45
SKU-0053,Kalamkari Kurta (Georgette),Kurta,Ivory,XXL,435,1646,SUP-004,2024-10-20,98
SKU-0054,Chikankari Kurta (Mul mul),Kurta,Ivory,XXL,553,1167,SUP-005,2024-08-25,52
SKU-0055,Ikat Kurta (Chanderi),Kurta,Sage green,S,599,1471,SUP-010,2024-09-10,48
SKU-0056,Ikat Kurta (Georgette),Kurta,Indigo,XS,445,1718,SUP-004,2024-09-10,53
SKU-0057,Block print Kurta (Cotton),Kurta,Rust,M,527,1624,SUP-005,2024-07-17,41
SKU-0058,Ajrakh Kurta (Rayon),Kurta,Rust,S,414,1366,SUP-003,2024-09-05,116
SKU-0059,Dabu print Kurta (Chanderi),Kurta,Terracotta,XXL,439,1725,SUP-002,2024-08-17,144
SKU-0060,Kalamkari Kurta (Chanderi),Kurta,Blush pink,L,454,1145,SUP-009,2024-09-21,50
SKU-0061,Kalamkari Kurta (Cotton),Kurta,Blush pink,M,598,1625,SUP-001,2024-07-03,128
SKU-0062,Chikankari Kurta (Linen),Kurta,Mauve,L,385,1045,SUP-001,2024-06-19,84
SKU-0063,Shibori Kurta (Linen),Kurta,Ivory,XS,362,1228,SUP-004,2024-08-11,141
SKU-0064,Bandhani Kurta (Cotton),Kurta,Sage green,L,566,1291,SUP-009,2024-06-30,48
SKU-0065,Ikat Kurta (Silk blend),Kurta,Terracotta,XL,425,1214,SUP-005,2024-10-21,128
SKU-0066,Chikankari Kurta (Cotton),Kurta,Teal,XL,374,1418,SUP-005,2024-09-26,71
SKU-0067,Kalamkari Kurta (Silk blend),Kurta,Teal,XL,535,1347,SUP-002,2024-07-19,140
SKU-0068,Dabu print Kurta (Mul mul),Kurta,Ivory,XL,425,958,SUP-006,2024-09-05,36
SKU-0069,Ajrakh Kurta (Silk blend),Kurta,Terracotta,S,523,1602,SUP-005,2024-07-04,58
SKU-0070,Bagru print Kurta (Rayon),Kurta,Ivory,XXL,514,1371,SUP-004,2024-08-27,46
SKU-0071,Ikat Kurta (Linen),Kurta,Rust,XL,566,1250,SUP-006,2024-07-09,68
SKU-0072,Bandhani Kurta (Georgette),Kurta,Rust,XL,440,1663,SUP-002,2024-08-20,121
SKU-0073,Bagru print Kurta (Rayon),Kurta,Charcoal,XS,475,1007,SUP-003,2024-06-23,106
SKU-0074,Shibori Kurta (Cotton),Kurta,Ochre,XL,539,1454,SUP-006,2024-07-28,87
SKU-0075,Kalamkari Kurta (Linen),Kurta,Mauve,M,393,1634,SUP-005,2024-06-11,65
SKU-0076,Shibori Kurta (Chanderi),Kurta,Charcoal,XS,576,1608,SUP-001,2024-10-29,146
SKU-0077,Chikankari Kurta (Cotton),Kurta,Terracotta,XXL,403,1208,SUP-008,2024-06-27,57
SKU-0078,Ikat Kurta (Chanderi),Kurta,Blush pink,S,357,1071,SUP-002,2024-08-18,57
SKU-0079,Mirror work Kurta (Georgette),Kurta,Ivory,XS,569,990,SUP-001,2024-06-16,146
SKU-0080,Bandhani Kurta (Rayon),Kurta,Ochre,S,561,1410,SUP-003,2024-06-14,98
SKU-0081,Ajrakh Kurta (Silk blend),Kurta,Mauve,XS,359,1773,SUP-006,2024-10-19,94
SKU-0082,Kalamkari Kurta (Chanderi),Kurta,Charcoal,XXL,495,1173,SUP-001,2024-11-07,106
SKU-0083,Block print Kurta (Rayon),Kurta,Teal,XXL,447,1054,SUP-001,2024-08-11,98
SKU-0084,Kalamkari Kurta (Rayon),Kurta,Mauve,S,482,1720,SUP-010,2024-10-26,112
SKU-0085,Shibori Kurta (Linen),Kurta,Ivory,M,494,1034,SUP-004,2024-09-01,91
SKU-0086,Bagru print Kurta (Georgette),Kurta,Terracotta,S,637,983,SUP-002,2024-08-18,83
SKU-0087,Ajrakh Kurta (Mul mul),Kurta,Ivory,XXL,467,1720,SUP-005,2024-07-18,123
SKU-0088,Block print Kurta (Georgette),Kurta,Teal,XL,571,1712,SUP-005,2024-09-22,43
SKU-0089,Mirror work Kurta (Mul mul),Kurta,Indigo,XXL,415,1024,SUP-002,2024-08-07,127
SKU-0090,Bandhani Kurta (Georgette),Kurta,Indigo,L,635,1284,SUP-009,2024-08-19,67
SKU-0091,Bandhani Kurta (Cotton),Kurta,Mauve,XL,379,1708,SUP-004,2024-08-04,39
SKU-0092,Block print Kurta (Mul mul),Kurta,Sage green,XL,533,1350,SUP-002,2024-09-05,35
SKU-0093,Bandhani Kurta (Georgette),Kurta,Charcoal,M,402,1399,SUP-006,2024-07-15,45
SKU-0094,Bagru print Kurta (Cotton),Kurta,Rust,M,357,1309,SUP-002,2024-07-09,90
SKU-0095,Kalamkari Kurta (Rayon),Kurta,Indigo,L,471,1000,SUP-010,2024-06-24,90
SKU-0096,Block print Kurta (Rayon),Kurta,Charcoal,L,371,1354,SUP-010,2024-09-09,75
SKU-0097,Shibori Kurta (Chanderi),Kurta,Charcoal,XS,383,1027,SUP-006,2024-10-04,140
SKU-0098,Block print Kurta (Chanderi),Kurta,Sage green,XS,405,1299,SUP-008,2024-08-03,142
SKU-0099,Bagru print Kurta (Linen),Kurta,Terracotta,L,602,1641,SUP-007,2024-10-02,107
SKU-0100,Dabu print Kurta (Linen),Kurta,Blush pink,M,565,1335,SUP-007,2024-08-01,32
SKU-0101,Ajrakh Kurta (Chanderi),Kurta,Ochre,M,460,1699,SUP-003,2024-08-03,44
